review,rating,date,bank,source,sentiment_label,sentiment_score,processed_review,keywords,identified_theme(s)
Excellent application,5,2025-06-18,BOA,Google Play,POSITIVE,0.9998571872711182,excellent application,"['excellent', 'application']",Other
its very bad app its very slow,1,2025-06-17,BOA,Google Play,NEGATIVE,0.9998086094856262,bad app slow,"['app slow', 'bad app', 'slow']",Transaction Performance
ብዙዬ ሺዋየ በለጠ,1,2025-06-15,BOA,Google Play,NEGATIVE,0.8337252736091614,ብዙዬ ሺዋየ በለጠ,[],Other
good,1,2025-06-15,BOA,Google Play,POSITIVE,0.999816119670868,good,['good'],Other
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa",1,2025-06-15,BOA,Google Play,NEGATIVE,0.9994043111801147,bank u hire good job bc joke nowadays log transfer crash u fix app update review count u boa,"['nowadays', 'log transfer', 'joke']",Transaction Performance
Good job!,5,2025-06-13,BOA,Google Play,POSITIVE,0.9998481273651124,good job,"['good job', 'job', 'good']",Other
best financial app.,5,2025-06-12,BOA,Google Play,POSITIVE,0.9997761845588684,good financial app,"['good financial', 'financial app', 'financial']",Other
ቆንጆ ነው በርቱ,5,2025-06-11,BOA,Google Play,NEGATIVE,0.8337252736091614,ቆንጆ ነው በርቱ,['ነው'],Other
the worst app humans ever created,1,2025-06-09,BOA,Google Play,NEGATIVE,0.9998008608818054,bad app human create,"['human', 'app human', 'create']",Other
it's not working,3,2025-06-05,BOA,Google Play,NEGATIVE,0.9997857213020324,work,['work'],Other
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA,Google Play,NEGATIVE,0.999415159225464,hello face problem boa mobile app time enter phone number password app crash show error say boamobile close app bug try update reinstall clear cache work fix bug update need access account thank,"['bug', 'update', 'show error']","Account Access Issues, Feature Requests"
exceptional,5,2025-06-03,BOA,Google Play,POSITIVE,0.9998514652252196,exceptional,['exceptional'],Other
BoA Mobile good bank,5,2025-06-02,BOA,Google Play,POSITIVE,0.9984728693962096,boa mobile good bank,"['good bank', 'boa mobile', 'boa']",Other
